chain_id,chain_symbol,created_at,expiration_date,id,issue_date,rhs_tradability,state,strike_price,tradability,type,updated_at,url,adjusted_mark_price,ask_price,ask_size,bid_price,bid_size,break_even_price,high_price,instrument,last_trade_price,last_trade_size,low_price,mark_price,open_interest,previous_close_date,previous_close_price,volume,chance_of_profit_long,chance_of_profit_short,delta,gamma,implied_volatility,rho,theta,vega,high_fill_rate_buy_price,high_fill_rate_sell_price,low_fill_rate_buy_price,low_fill_rate_sell_price,above_tick,below_tick,cutoff_price
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.823297Z,2/19/20,9d4e4c28-b59a-4c9e-9dc1-06394391d6be,1/6/05,untradable,active,312,tradable,call,2020-01-18T10:54:00.823305Z,https://api.robinhood.com/options/instruments/9d4e4c28-b59a-4c9e-9dc1-06394391d6be/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/9d4e4c28-b59a-4c9e-9dc1-06394391d6be/,26.77,2,,0,0,2/19/20,26.38,0,,,,,,,,,0,0,0,0,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.823247Z,2/24/20,79b91856-9160-43a3-8bf5-1ad2a06ae1f3,1/6/05,untradable,active,327,tradable,call,2020-01-18T10:54:00.823255Z,https://api.robinhood.com/options/instruments/79b91856-9160-43a3-8bf5-1ad2a06ae1f3/,8.59,8.73,5,8.44,5,335.59,11.32,https://api.robinhood.com/options/instruments/79b91856-9160-43a3-8bf5-1ad2a06ae1f3/,8.5,2,7.85,8.585,818,2/19/20,11.51,8,0.482054,0.517946,0.920306,0.024452,0.172725,0.032873,-0.132879,0.052029,8.68,8.48,8.56,8.59,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.823197Z,2/18/20,be5a583f-a97c-4e05-b57b-3bba3e5683dc,1/6/05,untradable,active,359,tradable,put,2020-01-18T10:54:00.823205Z,https://api.robinhood.com/options/instruments/be5a583f-a97c-4e05-b57b-3bba3e5683dc/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/be5a583f-a97c-4e05-b57b-3bba3e5683dc/,22.2,1,,0,0,2/19/20,22.32,0,,,,,,,,,0,0,0,0,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.823148Z,2/19/20,313b238a-d1f4-4359-b2e0-91ee35b36d47,1/6/05,untradable,active,347,tradable,put,2020-01-18T10:54:00.823156Z,https://api.robinhood.com/options/instruments/313b238a-d1f4-4359-b2e0-91ee35b36d47/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/313b238a-d1f4-4359-b2e0-91ee35b36d47/,9.79,3,,0,0,2/19/20,8.66,0,,,,,,,,,0,0,0,0,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.823098Z,2/19/20,8f2252f9-a259-4c83-a48b-04d3312035c4,1/6/05,untradable,active,316,tradable,put,2020-01-18T10:54:00.823106Z,https://api.robinhood.com/options/instruments/8f2252f9-a259-4c83-a48b-04d3312035c4/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/8f2252f9-a259-4c83-a48b-04d3312035c4/,0.04,8,,0,1078,2/19/20,0.01,0,,,,,,,,,0,0,0,0,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.823048Z,2/19/20,a71c417b-9bac-4e77-90e3-f1da2a826f5a,1/6/05,untradable,active,353,tradable,call,2020-01-18T10:54:00.823056Z,https://api.robinhood.com/options/instruments/a71c417b-9bac-4e77-90e3-f1da2a826f5a/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/a71c417b-9bac-4e77-90e3-f1da2a826f5a/,0.01,528,,0,2858,2/19/20,0.01,0,,,,,,,,,0,0,0,0,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.822996Z,2/19/20,6fa04eda-9875-445b-9831-d9dadc0b76e8,1/6/05,untradable,active,352,tradable,call,2020-01-18T10:54:00.823004Z,https://api.robinhood.com/options/instruments/6fa04eda-9875-445b-9831-d9dadc0b76e8/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/6fa04eda-9875-445b-9831-d9dadc0b76e8/,0.01,1,,0,1,2/19/20,0.01,0,,,,,,,,,0,0,0,0,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.822947Z,2/19/20,fff77c49-b0c2-4ba8-95c4-35d2481e4ee0,1/6/05,untradable,active,352,tradable,put,2020-01-18T10:54:00.822955Z,https://api.robinhood.com/options/instruments/fff77c49-b0c2-4ba8-95c4-35d2481e4ee0/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/fff77c49-b0c2-4ba8-95c4-35d2481e4ee0/,,,,0,0,2/19/20,13.63,0,,,,,,,,,0,0,0,0,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.822897Z,2/18/20,a6543c57-ec4a-46b1-a42a-3afab2d52b31,1/6/05,untradable,active,359,tradable,call,2020-01-18T10:54:00.822905Z,https://api.robinhood.com/options/instruments/a6543c57-ec4a-46b1-a42a-3afab2d52b31/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/a6543c57-ec4a-46b1-a42a-3afab2d52b31/,0.01,1,,0,0,2/19/20,0.01,0,,,,,,,,,0,0,0,0,0.01,0.01,0
c277b118-58d9-4060-8dc5-a3b5898955cb,SPY,2020-01-18T10:54:00.822847Z,2/19/20,3ca02d8d-1b63-4681-a191-89fa6e07d76b,1/6/05,untradable,active,312,tradable,put,2020-01-18T10:54:00.822855Z,https://api.robinhood.com/options/instruments/3ca02d8d-1b63-4681-a191-89fa6e07d76b/,0,0,0,0,0,0,,https://api.robinhood.com/options/instruments/3ca02d8d-1b63-4681-a191-89fa6e07d76b/,0.02,4,,0,1153,2/19/20,0.01,0,,,,,,,,,0,0,0,0,0.01,0.01,0
